ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
20,script-unrelated,28,563,1.2,2.363636364,1
20,script-unrelated,7,1457,1.2,2.363636364,1
20,script-unrelated,1,795,1.2,2.363636364,1
21,control,27,607,5.9,6,1
21,control,24,507,5.9,6,0
21,control,30,525,5.9,6,1
21,control,3,464,5.9,6,1
21,control,9,301,5.9,6,0
21,control,21,714,5.9,6,0
21,control,6,382,5.9,6,0
21,control,18,555,5.9,6,1
21,control,12,664,5.9,6,0
21,control,15,695,5.9,6,1
21,script-related,28,527,5.9,5.142857143,0
21,script-related,25,609,5.9,5.142857143,1
21,script-related,13,902,5.9,5.142857143,1
21,script-related,4,769,5.9,5.142857143,0
21,script-related,22,806,5.9,5.142857143,1
21,script-related,16,328,5.9,5.142857143,0
21,script-related,1,739,5.9,5.142857143,1
21,script-related,10,834,5.9,5.142857143,0
21,script-related,31,457,5.9,5.142857143,0
21,script-related,19,873,5.9,5.142857143,0
21,script-related,7,1060,5.9,5.142857143,1
21,script-unrelated,11,711,1.95,1.583333333,0
21,script-unrelated,23,523,1.95,1.583333333,1
21,script-unrelated,5,797,1.95,1.583333333,1
21,script-unrelated,26,1158,1.95,1.583333333,1
21,script-unrelated,8,754,1.95,1.583333333,0
21,script-unrelated,29,377,1.95,1.583333333,1
21,script-unrelated,2,1717,1.95,1.583333333,1
21,script-unrelated,14,1403,1.95,1.583333333,1
21,script-unrelated,20,655,1.95,1.583333333,1
21,script-unrelated,17,1195,1.95,1.583333333,1
22,control,4,882,6.15,6.5,1
22,control,13,1550,6.15,6.5,0
22,control,16,651,6.15,6.5,1
22,control,7,1303,6.15,6.5,1
22,control,10,839,6.15,6.5,1
22,control,25,708,6.15,6.5,0
22,control,22,605,6.15,6.5,1
22,control,1,1139,6.15,6.5,0
22,control,28,581,6.15,6.5,1
22,control,31,640,6.15,6.5,1
22,control,19,1266,6.15,6.5,1
22,script-related,29,436,6.15,3.818181818,1
22,script-related,26,895,6.15,3.818181818,1
22,script-related,8,961,6.15,3.818181818,0
22,script-related,17,874,6.15,3.818181818,1
22,script-related,23,443,6.15,3.818181818,1
22,script-related,11,434,6.15,3.818181818,0
22,script-related,14,758,6.15,3.818181818,0
22,script-related,20,724,6.15,3.818181818,1
22,script-related,5,644,6.15,3.818181818,0
22,script-related,2,1886,6.15,3.818181818,0
22,script-unrelated,6,273,1.75,1.571428571,1
22,script-unrelated,24,383,1.75,1.571428571,1
22,script-unrelated,30,950,1.75,1.571428571,1
22,script-unrelated,9,488,1.75,1.571428571,1
22,script-unrelated,18,434,1.75,1.571428571,1
22,script-unrelated,12,606,1.75,1.571428571,1
22,script-unrelated,21,691,1.75,1.571428571,1
22,script-unrelated,15,648,1.75,1.571428571,1
22,script-unrelated,3,604,1.75,1.571428571,1
22,script-unrelated,27,804,1.75,1.571428571,1
23,control,23,487,5.95,5.714285714,1
23,control,20,712,5.95,5.714285714,1
23,control,5,956,5.95,5.714285714,1
23,control,8,715,5.95,5.714285714,1
23,control,26,524,5.95,5.714285714,1
23,control,11,605,5.95,5.714285714,1
23,control,29,439,5.95,5.714285714,1
23,control,17,1012,5.95,5.714285714,1
23,control,2,1470,5.95,5.714285714,0
23,control,14,691,5.95,5.714285714,1
23,script-related,15,967,5.95,2.833333333,0
23,script-related,30,853,5.95,2.833333333,1
23,script-related,3,435,5.95,2.833333333,1
23,script-related,18,429,5.95,2.833333333,1
23,script-related,9,317,5.95,2.833333333,0
23,script-related,12,568,5.95,2.833333333,1
23,script-related,21,626,5.95,2.833333333,0
23,script-related,27,665,5.95,2.833333333,1
23,script-related,6,355,5.95,2.833333333,0
23,script-related,24,556,5.95,2.833333333,1
23,script-unrelated,28,509,2.85,3.181818182,1
23,script-unrelated,25,731,2.85,3.181818182,1
23,script-unrelated,16,362,2.85,3.181818182,1
23,script-unrelated,13,1133,2.85,3.181818182,1
23,script-unrelated,19,675,2.85,3.181818182,1
23,script-unrelated,10,843,2.85,3.181818182,1
23,script-unrelated,1,715,2.85,3.181818182,1
23,script-unrelated,22,932,2.85,3.181818182,1
23,script-unrelated,7,1081,2.85,3.181818182,1
23,script-unrelated,31,660,2.85,3.181818182,1
23,script-unrelated,4,714,2.85,3.181818182,1
24,control,24,467,6.4,6.454545455,1
24,control,18,614,6.4,6.454545455,1
24,control,12,520,6.4,6.454545455,1
24,control,3,605,6.4,6.454545455,1
24,control,30,871,6.4,6.454545455,1
24,control,21,929,6.4,6.454545455,1
24,control,15,1346,6.4,6.454545455,1
24,control,27,588,6.4,6.454545455,1
24,control,9,605,6.4,6.454545455,1
24,control,6,438,6.4,6.454545455,1
24,script-related,28,562,6.4,1.714285714,1
24,script-related,10,746,6.4,1.714285714,1
24,script-related,1,979,6.4,1.714285714,0
24,script-related,22,867,6.4,1.714285714,1
24,script-related,13,1219,6.4,1.714285714,1
24,script-related,16,805,6.4,1.714285714,1
24,script-related,25,592,6.4,1.714285714,1
24,script-related,31,628,6.4,1.714285714,1
24,script-related,4,683,6.4,1.714285714,1
24,script-related,19,1140,6.4,1.714285714,1
24,script-related,7,1223,6.4,1.714285714,1
24,script-unrelated,26,633,2.35,1.5,1
24,script-unrelated,5,801,2.35,1.5,1
24,script-unrelated,17,1294,2.35,1.5,1
24,script-unrelated,29,418,2.35,1.5,1
24,script-unrelated,23,484,2.35,1.5,1
24,script-unrelated,8,983,2.35,1.5,1
24,script-unrelated,11,521,2.35,1.5,0
24,script-unrelated,20,716,2.35,1.5,1
24,script-unrelated,14,810,2.35,1.5,0
