ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
2,script-related,9,101,5.95,3,0
2,script-related,12,233,5.95,3,1
2,script-related,24,241,5.95,3,1
2,script-unrelated,19,525,2.3,2.363636364,1
2,script-unrelated,31,167,2.3,2.363636364,1
2,script-unrelated,25,233,2.3,2.363636364,1
2,script-unrelated,13,431,2.3,2.363636364,1
2,script-unrelated,7,545,2.3,2.363636364,1
2,script-unrelated,22,353,2.3,2.363636364,1
2,script-unrelated,10,528,2.3,2.363636364,1
2,script-unrelated,16,285,2.3,2.363636364,1
2,script-unrelated,1,460,2.3,2.363636364,1
2,script-unrelated,28,233,2.3,2.363636364,1
2,script-unrelated,4,388,2.3,2.363636364,1
20,control,29,265,6.65,5.714285714,0
20,control,5,356,6.65,5.714285714,1
20,control,8,519,6.65,5.714285714,1
20,control,23,264,6.65,5.714285714,0
20,control,11,269,6.65,5.714285714,1
20,control,17,582,6.65,5.714285714,0
20,control,2,1016,6.65,5.714285714,1
20,control,20,379,6.65,5.714285714,1
20,control,26,267,6.65,5.714285714,1
20,control,14,490,6.65,5.714285714,1
20,script-related,24,200,6.65,1.75,1
20,script-related,6,216,6.65,1.75,1
20,script-related,21,420,6.65,1.75,1
20,script-related,27,401,6.65,1.75,1
20,script-related,18,232,6.65,1.75,1
20,script-related,12,297,6.65,1.75,1
20,script-related,15,442,6.65,1.75,1
20,script-related,9,274,6.65,1.75,1
20,script-related,3,365,6.65,1.75,1
20,script-related,30,356,6.65,1.75,0
20,script-unrelated,4,640,1.2,2.363636364,1
20,script-unrelated,13,691,1.2,2.363636364,1
20,script-unrelated,10,468,1.2,2.363636364,1
20,script-unrelated,16,173,1.2,2.363636364,1
20,script-unrelated,25,484,1.2,2.363636364,1
20,script-unrelated,19,716,1.2,2.363636364,0
20,script-unrelated,22,274,1.2,2.363636364,1
20,script-unrelated,31,344,1.2,2.363636364,1
20,script-unrelated,28,275,1.2,2.363636364,1
20,script-unrelated,7,723,1.2,2.363636364,1
20,script-unrelated,1,406,1.2,2.363636364,1
21,control,27,318,5.9,6,1
21,control,24,165,5.9,6,0
21,control,30,301,5.9,6,1
21,control,3,229,5.9,6,1
21,control,9,162,5.9,6,0
21,control,21,340,5.9,6,0
21,control,6,183,5.9,6,0
21,control,18,259,5.9,6,1
21,control,12,355,5.9,6,0
21,control,15,306,5.9,6,1
21,script-related,28,245,5.9,5.142857143,0
21,script-related,25,307,5.9,5.142857143,1
21,script-related,13,440,5.9,5.142857143,1
21,script-related,4,442,5.9,5.142857143,0
21,script-related,22,477,5.9,5.142857143,1
21,script-related,16,180,5.9,5.142857143,0
21,script-related,1,361,5.9,5.142857143,1
21,script-related,10,503,5.9,5.142857143,0
21,script-related,31,209,5.9,5.142857143,0
21,script-related,19,437,5.9,5.142857143,0
21,script-related,7,537,5.9,5.142857143,1
21,script-unrelated,11,347,1.95,1.583333333,0
21,script-unrelated,23,259,1.95,1.583333333,1
21,script-unrelated,5,415,1.95,1.583333333,1
21,script-unrelated,26,693,1.95,1.583333333,1
21,script-unrelated,8,442,1.95,1.583333333,0
21,script-unrelated,29,185,1.95,1.583333333,1
21,script-unrelated,2,1317,1.95,1.583333333,1
21,script-unrelated,14,222,1.95,1.583333333,1
21,script-unrelated,20,359,1.95,1.583333333,1
21,script-unrelated,17,655,1.95,1.583333333,1
22,control,4,532,6.15,6.5,1
22,control,13,546,6.15,6.5,0
22,control,16,259,6.15,6.5,1
22,control,7,543,6.15,6.5,1
22,control,10,449,6.15,6.5,1
22,control,25,362,6.15,6.5,0
22,control,22,346,6.15,6.5,1
22,control,1,687,6.15,6.5,0
22,control,28,264,6.15,6.5,1
22,control,31,368,6.15,6.5,1
22,control,19,679,6.15,6.5,1
22,script-related,29,219,6.15,3.818181818,1
22,script-related,26,392,6.15,3.818181818,1
22,script-related,8,507,6.15,3.818181818,0
22,script-related,17,454,6.15,3.818181818,1
22,script-related,23,214,6.15,3.818181818,1
22,script-related,11,226,6.15,3.818181818,0
22,script-related,14,424,6.15,3.818181818,0
22,script-related,20,374,6.15,3.818181818,1
22,script-related,5,280,6.15,3.818181818,0
22,script-related,2,1587,6.15,3.818181818,0
22,script-unrelated,6,152,1.75,1.571428571,1
22,script-unrelated,24,196,1.75,1.571428571,1
22,script-unrelated,30,526,1.75,1.571428571,1
22,script-unrelated,9,249,1.75,1.571428571,1
22,script-unrelated,18,214,1.75,1.571428571,1
22,script-unrelated,12,330,1.75,1.571428571,1
22,script-unrelated,21,369,1.75,1.571428571,1
22,script-unrelated,15,335,1.75,1.571428571,1
22,script-unrelated,3,309,1.75,1.571428571,1
22,script-unrelated,27,423,1.75,1.571428571,1
23,control,23,261,5.95,5.714285714,1
23,control,20,429,5.95,5.714285714,1
23,control,5,541,5.95,5.714285714,1
23,control,8,357,5.95,5.714285714,1
